,date,subjectivity,polarity,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-02-05,0.2438006828427045,0.0844134490212143,2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375,38144.30859375,58598066402
1,2021-02-06,0.2570143644511368,0.0973542956348556,2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875,39266.01171875,71326033653
2,2021-02-07,0.3264383235572994,0.144448090500371,2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625,38903.44140625,65500641143
3,2021-02-08,0.2496404752394132,0.0913416152350916,2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,46196.46484375,101467222687
4,2021-02-09,0.245402912174971,0.0929796403659973,2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,46481.10546875,91809846886
5,2021-02-10,0.2456050823768633,0.0862244962857582,2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,44918.18359375,87301089896
6,2021-02-13,0.2287338562369543,0.0855462733930541,2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,47105.515625,70250456155
7,2021-02-14,0.360216012854114,0.1569417248062824,2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,48717.2890625,71248675228
8,2021-02-15,0.4329708766285222,0.2051671862012029,2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,47945.05859375,77069903166
9,2021-02-18,0.2568541071469805,0.091255155834869,2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,51679.796875,52054723579
10,2021-02-19,0.2515394754201869,0.0792214801998727,2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,55888.1328125,63495496918
11,2021-02-22,0.2484222875356966,0.0780973554812191,2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,54207.3203125,92052420332
12,2021-02-28,0.2681303202429346,0.0788984922174708,2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,45137.76953125,53443887451
13,2021-03-11,0.2191515884400499,0.0927662906893676,2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,57805.12109375,56772343595
14,2021-03-12,0.2531492519345051,0.091466125174165,2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,57332.08984375,55689944702
15,2021-04-05,0.2490520301566813,0.0832130962508869,2021-04-05,58760.875,59891.296875,57694.82421875,59057.87890625,59057.87890625,60706272115
16,2021-04-06,0.264322131774147,0.0855057143361031,2021-04-06,59171.93359375,59479.578125,57646.80859375,58192.359375,58192.359375,66058027988
17,2021-04-07,0.2800372275680937,0.0964013208953415,2021-04-07,58186.5078125,58731.14453125,55604.0234375,56048.9375,56048.9375,75645303584
18,2021-04-08,0.2659336099440688,0.0901085521504338,2021-04-08,56099.9140625,58338.73828125,55879.0859375,58323.953125,58323.953125,53053855641
19,2021-04-09,0.2309414612545114,0.0724216172394033,2021-04-09,58326.5625,58937.046875,57807.86328125,58245.00390625,58245.00390625,46655208546
20,2021-04-10,0.2517765293995904,0.0968430191643738,2021-04-10,58253.77734375,61276.6640625,58038.70703125,59793.234375,59793.234375,58238470525
21,2021-04-11,0.2655495300296245,0.102418759225355,2021-04-11,59846.23046875,60790.5546875,59289.796875,60204.96484375,60204.96484375,46280252580
22,2021-04-12,0.2685190620157701,0.0869192946876743,2021-04-12,60175.9453125,61253.03515625,59589.875,59893.453125,59893.453125,51828688519
23,2021-04-17,0.2784964849409294,0.1339679961346628,2021-04-17,61529.921875,62572.17578125,60361.3515625,60683.8203125,60683.8203125,66138759198
24,2021-04-18,0.2935551391838164,0.0902848350330542,2021-04-18,60701.88671875,61057.45703125,52829.53515625,56216.18359375,56216.18359375,97468872758
25,2021-04-19,0.2925726508605836,0.0888630689059746,2021-04-19,56191.5859375,57520.0546875,54368.59375,55724.265625,55724.265625,65344865159
26,2021-04-20,0.3105992322839243,0.1040193636531904,2021-04-20,55681.79296875,57062.1484375,53448.046875,56473.03125,56473.03125,67849323955
27,2021-04-21,0.3242248601966494,0.0886223736044681,2021-04-21,56471.12890625,56757.97265625,53695.46875,53906.08984375,53906.08984375,54926612466
28,2021-04-22,0.3174535615071504,0.1041714824256019,2021-04-22,53857.10546875,55410.23046875,50583.8125,51762.2734375,51762.2734375,74798630778
29,2021-04-23,0.3263445108613358,0.0962863884079357,2021-04-23,51739.80859375,52120.79296875,47714.6640625,51093.65234375,51093.65234375,86668667320
30,2021-04-24,0.323820978807116,0.1081206212029755,2021-04-24,51143.2265625,51167.5625,48805.28515625,50050.8671875,50050.8671875,49014494781
31,2021-05-25,0.3215083526901555,0.1019870365490448,2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,38402.22265625,56211915803
32,2021-05-26,0.3043791945016916,0.103152279627778,2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,39294.19921875,51346735160
33,2021-05-27,0.3211495460360107,0.1229065056412478,2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,38436.96875,43210968721
34,2021-05-28,0.323185344625035,0.1013594516447959,2021-05-28,38507.08203125,38856.96875,34779.0390625,35697.60546875,35697.60546875,55200191952
35,2021-05-29,0.3114098420640124,0.0834514502556475,2021-05-29,35684.15625,37234.5,33693.9296875,34616.06640625,34616.06640625,45231013335
36,2021-06-20,0.3483888483445238,0.1551283211287608,2021-06-20,35563.140625,36059.484375,33432.07421875,35698.296875,35698.296875,36664034054
37,2021-06-21,0.3536719515240956,0.1486299137700935,2021-06-21,35641.14453125,35721.640625,31295.935546875,31676.693359375,31676.693359375,52809038594
38,2021-06-22,0.3302863312728714,0.1201988353416034,2021-06-22,31622.376953125,33292.453125,28893.62109375,32505.66015625,32505.66015625,58964353058
39,2021-06-23,0.3272853294143218,0.1388320933292621,2021-06-23,32515.71484375,34753.41015625,31772.6328125,33723.02734375,33723.02734375,46317108925
40,2021-07-02,0.345719146043037,0.1522312662328718,2021-07-02,33549.6015625,33939.58984375,32770.6796875,33897.046875,33897.046875,38728974942
41,2021-07-03,0.3652905742156377,0.1851573072032913,2021-07-03,33854.421875,34909.26171875,33402.6953125,34668.546875,34668.546875,24383958643
42,2021-07-04,0.350853389876307,0.1733761876625756,2021-07-04,34665.56640625,35937.56640625,34396.4765625,35287.78125,35287.78125,24924307911
43,2021-07-05,0.3584983360511912,0.1776626174446781,2021-07-05,35284.34375,35284.34375,33213.66015625,33746.00390625,33746.00390625,26721554282
44,2021-07-16,0.3686118191600334,0.1175058338415481,2021-07-16,31841.55078125,32218.40625,31100.673828125,31421.5390625,31421.5390625,23699476918
45,2021-07-17,0.3561323066224431,0.16018919144041,2021-07-17,31397.30859375,31935.9453125,31223.990234375,31533.068359375,31533.068359375,18895018942
46,2021-07-18,0.389127958167442,0.1977314679153418,2021-07-18,31533.884765625,32398.99609375,31215.4921875,31796.810546875,31796.810546875,18787986667
47,2021-07-19,0.3671270665656249,0.1715041065540745,2021-07-19,31800.01171875,31885.859375,30563.734375,30817.83203125,30817.83203125,20434789545
48,2021-07-20,0.3426382996817913,0.1306497104403187,2021-07-20,30838.28515625,31006.1875,29360.955078125,29807.34765625,29807.34765625,23148267245
49,2021-07-21,0.3497297206910137,0.144201816024532,2021-07-21,29796.28515625,32752.326171875,29526.18359375,32110.693359375,32110.693359375,28203024559
50,2021-07-22,0.3649205807593929,0.1728872194711551,2021-07-22,32138.873046875,32576.400390625,31745.298828125,32313.10546875,32313.10546875,19555230518
51,2021-07-23,0.359147133133676,0.1702861663050255,2021-07-23,32305.958984375,33581.55078125,32057.892578125,33581.55078125,33581.55078125,22552046192
